number,name,district,reserved
1,Gummidipoondi,Tiruvallur,
2,Ponneri,Tiruvallur,SC
3,Tiruttani,Tiruvallur,
4,Thiruvallur,Tiruvallur,
5,Poonamallee,Tiruvallur,SC
6,Avadi,Tiruvallur,
7,Maduravoyal,Chennai,
8,Ambattur,Chennai,
9,Madhavaram,Chennai,
10,Thiruvottiyur,Chennai,
11,Dr. Radhakrishnan Nagar,Chennai,
12,Perambur,Chennai,
13,Kolathur,Chennai,
14,Villivakkam,Chennai,
15,Thiru-Vi-Ka-Nagar,Chennai,SC
16,Egmore,Chennai,SC
17,Royapuram,Chennai,
18,Harbour,Chennai,
19,Chepauk-Thiruvallikeni,Chennai,
20,Thousand Lights,Chennai,
21,Anna Nagar,Chennai,
22,Virugambakkam,Chennai,
23,Saidapet,Chennai,
24,Thiyagarayanagar,Chennai,
25,Mylapore,Chennai,
26,Velachery,Chennai,
27,Sholinganallur,Chennai,
28,Alandur,Chennai,
29,Sriperumbudur,Kanchipuram,SC
30,Pallavaram,Chengalpattu,
31,Tambaram,Chengalpattu,
32,Chengalpattu,Chengalpattu,
33,Thiruporur,Chengalpattu,
34,Cheyyur,Chengalpattu,SC
35,Madurantakam,Chengalpattu,SC
36,Uthiramerur,Kanchipuram,
37,Kancheepuram,Kanchipuram,
38,Arakkonam,Ranipet,SC
39,Sholinghur,Ranipet,
40,Katpadi,Vellore,
41,Ranipet,Ranipet,
42,Arcot,Ranipet,
43,Vellore,Vellore,
44,Anaikattu,Vellore,
45,Kilvaithinankuppam,Vellore,SC
46,Gudiyattam,Vellore,SC
47,Vaniyambadi,Tirupathur,
48,Ambur,Tirupathur,
49,Jolarpet,Tirupathur,
50,Tirupattur,Tirupathur,
51,Uthangarai,Krishnagiri,SC
52,Bargur,Krishnagiri,
53,Krishnagiri,Krishnagiri,
54,Veppanahalli,Krishnagiri,
55,Hosur,Krishnagiri,
56,Thalli,Krishnagiri,
57,Palacode,Dharmapuri,
58,Pennagaram,Dharmapuri,
59,Dharmapuri,Dharmapuri,
60,Pappireddippatti,Dharmapuri,
61,Harur,Dharmapuri,SC
62,Chengam,Tiruvannamalai,SC
63,Tiruvannamalai,Tiruvannamalai,
64,Kilpennathur,Tiruvannamalai,
65,Kalasapakkam,Tiruvannamalai,
66,Polur,Tiruvannamalai,
67,Arani,Tiruvannamalai,
68,Cheyyar,Tiruvannamalai,
69,Vandavasi,Tiruvannamalai,SC
70,Gingee,Viluppuram,
71,Mailam,Viluppuram,
72,Tindivanam,Viluppuram,
